Country,Brand,Age,Age EOL,Repair status,Problem
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Nokia,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Motorola,Unknown,N/A,Repairable,Full Memory
GBR,Apple,Unknown,N/A,Repairable,Defective Keyboard
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Motorola,Unknown,Unknown,End of Life,Faulty Software
GBR,Motorola,Unknown,N/A,Repairable,Broken Screen
GBR,HTC,Unknown,Unknown,End of Life,Broken Battery
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Charging Socket
GBR,Fairphone,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Motorola,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Home Button
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
ITA,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,Unknown,Unknown,End of Life,Not recognized SIM card
GBR,Apple,Unknown,N/A,Repairable,Very Slow
GBR,Nokia,Unknown,N/A,Repairable,Broken Screen
GBR,HTC,Unknown,N/A,Repairable,Broken Screen
NOR,Fairphone,Unknown,N/A,Repairable,Broken Screen
NOR,Sony,Unknown,N/A,Repairable,Broken Screen
NOR,Apple,Unknown,N/A,Repairable,Broken Screen
NOR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,LG,Unknown,Unknown,End of Life,Broken Screen
GBR,Microsoft,Unknown,N/A,Repairable,Broken Screen
NOR,Apple,Unknown,N/A,Repairable,Broken Screen
NOR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Samsung,Unknown,N/A,Repairable,Broken Camera
GBR,Samsung,Unknown,Unknown,End of Life,Very Slow
NOR,Sony,Unknown,N/A,Repairable,Broken Screen
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Full Memory
ESP,Apple,Unknown,N/A,Repairable,Broken Camera
IRL,Apple,Unknown,N/A,Repairable,Broken Home Button
ESP,Sony,Unknown,N/A,Repairable,Water Damage
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,LG,Unknown,N/A,Repairable,Broken Screen
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
ESP,Samsung,Unknown,Unknown,End of Life,Broken Camera
NOR,Apple,Unknown,N/A,Repairable,Humidity Problem
NOR,Apple,Unknown,Unknown,End of Life,Humidity Problem
NOR,Apple,Unknown,N/A,Repairable,Humidity Problem
NOR,Apple,Unknown,Unknown,End of Life,Humidity Problem
GBR,Samsung,Unknown,N/A,Repairable,Broken Home Button
GBR,Apple,Unknown,Unknown,End of Life,Faulty Software
GBR,Apple,Unknown,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Full Memory
GBR,LG,Unknown,Unknown,End of Life,Broken Battery
GBR,Apple,Unknown,N/A,Repairable,Humidity Problem
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Camera
GBR,Samsung,Unknown,N/A,Repairable,Faulty Software
ITA,LG,Unknown,Unknown,End of Life,Over Heating
GBR,Apple,Unknown,Unknown,End of Life,Broken Screen
GBR,Motorola,3,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Apple,Unknown,Unknown,End of Life,Broken Screen
GBR,Nokia,Unknown,N/A,Repairable,Over Heating
GBR,Sony,Unknown,Unknown,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Sony,0,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
NOR,Samsung,4,N/A,Repairable,Over Heating
GBR,Apple,Unknown,N/A,Repairable,Broken Battery
NOR,Fairphone,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Camera
GBR,Apple,Unknown,N/A,Repairable,Not recognized SIM card
NOR,Sony,Unknown,N/A,Repairable,Broken Screen
NOR,Apple,2,2,End of Life,Water Damage
GBR,Apple,Unknown,Unknown,End of Life,Broken Screen
GBR,Nokia,0,N/A,Repairable,Full Memory
GBR,Nokia,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Motorola,3,N/A,Repairable,Broken Screen
GBR,Motorola,Unknown,Unknown,End of Life,Broken Battery
GBR,Sony,4,N/A,Repairable,Broken Home Button
GBR,Apple,3,N/A,Repairable,Water Damage
GBR,Nokia,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,1,N/A,Repairable,Broken Screen
GBR,Apple,2,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Motorola,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,0,N/A,Repairable,Broken Screen
GBR,Google,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Charging Socket
GBR,LG,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Water Damage
GBR,Samsung,3,N/A,Repairable,Broken Screen
GBR,Sony,3,N/A,Repairable,Broken Screen
GBR,Samsung,4,N/A,Repairable,Broken Screen
GBR,Samsung,3,3,End of Life,Broken Screen
GBR,Samsung,1,N/A,Repairable,Broken Screen
GBR,LG,3,N/A,Repairable,Broken Screen
GBR,OnePlus,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,3,N/A,Repairable,Broken Screen
GBR,Apple,2,N/A,Repairable,Broken Screen
GBR,Apple,3,N/A,Repairable,Broken Screen
ITA,Samsung,3,3,End of Life,Broken Screen
ITA,Samsung,5,N/A,Repairable,Broken Screen
SWE,Apple,3,N/A,Repairable,Broken Screen
ITA,Samsung,4,4,End of Life,Broken Screen
GBR,Samsung,1,N/A,Repairable,Broken Home Button
NOR,Samsung,8,8,End of Life,Broken Charging Socket
NOR,Apple,5,5,End of Life,Broken Screen
SWE,Samsung,Unknown,N/A,Repairable,Broken Screen
SWE,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Asus,2,2,End of Life,Very Slow
ITA,Huawei,1,N/A,Repairable,Broken Screen
SWE,Apple,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,6,6,End of Life,Broken Screen
GBR,Samsung,5,N/A,Repairable,Broken Screen
GBR,Microsoft,1,1,End of Life,Broken Screen
GBR,Apple,3,3,End of Life,Water Damage
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Home Button
GBR,LG,Unknown,N/A,Repairable,Not recognized SIM card
GBR,Apple,Unknown,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,3,3,End of Life,Broken Screen
GBR,Fairphone,Unknown,N/A,Repairable,Broken Screen
NOR,Motorola,1,N/A,Repairable,Broken Screen
ITA,Asus,2,N/A,Repairable,Broken Screen
ITA,Asus,2,2,End of Life,Broken Screen
ITA,Samsung,4,N/A,Repairable,Broken Screen
GBR,Samsung,5,N/A,Repairable,Broken Camera
SWE,Apple,Unknown,N/A,Repairable,Broken Screen
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Huawei,Unknown,N/A,Repairable,Broken Battery
GBR,Apple,4,N/A,Repairable,Broken Screen
GBR,Apple,5,5,End of Life,Broken Screen
SWE,Apple,4,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,2,N/A,Repairable,Broken Screen
SWE,Apple,2,N/A,Repairable,Broken Screen
GBR,Samsung,7,N/A,Repairable,Broken Screen
BEL,Apple,2,N/A,Repairable,Broken Screen
BEL,Apple,2,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Defective Keyboard
IRL,Sony,Unknown,N/A,Repairable,Humidity Problem
BEL,Apple,6,N/A,Repairable,Broken Screen
ITA,Apple,7,N/A,Repairable,Charging Issues
ITA,Samsung,4,N/A,Repairable,Broken Screen
NOR,Apple,2,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
SWE,Huawei,3,N/A,Repairable,Broken Screen
BEL,Siemens,Unknown,Unknown,End of Life,Very Slow
SWE,Apple,Unknown,N/A,Repairable,Broken Charging Socket
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Broken Screen
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Motorola,5,N/A,Repairable,Full Memory
BEL,Huawei,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,2,N/A,Repairable,Broken Battery
SWE,Samsung,4,4,End of Life,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Nexus,8,N/A,Repairable,Broken Screen
ITA,Apple,6,6,End of Life,Broken Camera
ITA,Apple,Unknown,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Humidity Problem
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
IRL,Samsung,Unknown,N/A,Repairable,Broken Screen
SWE,Apple,2,N/A,Repairable,Broken Screen
NOR,Samsung,2,N/A,Repairable,Broken Battery
NOR,Apple,0,N/A,Repairable,Broken Battery
NOR,Apple,3,3,End of Life,Faulty Software
NOR,LG,0,N/A,Repairable,Broken Screen
NOR,Apple,3,N/A,Repairable,Broken Screen
NOR,Samsung,2,N/A,Repairable,Fully Destroyed/Burned
NOR,Apple,3,N/A,Repairable,Broken Screen
NOR,Microsoft,3,N/A,Repairable,Broken Screen
NOR,Apple,2,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Home Button
GBR,Motorola,Unknown,Unknown,End of Life,Faulty Software
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
SWE,Samsung,5,N/A,Repairable,Broken Screen
SWE,Samsung,5,5,End of Life,Broken Screen
SWE,Samsung,7,7,End of Life,Broken Screen
IRL,Apple,5,N/A,Repairable,Broken Screen
IRL,Fairphone,Unknown,N/A,Repairable,Broken Screen
IRL,Apple,Unknown,N/A,Repairable,Broken Screen
SWE,Samsung,2,N/A,Repairable,Broken Screen
SWE,Samsung,5,5,End of Life,Broken Screen
SWE,Samsung,7,7,End of Life,Broken Screen
SWE,Samsung,5,N/A,Repairable,Broken Charging Socket
SWE,Samsung,5,N/A,Repairable,Broken Charging Socket
NOR,Apple,4,N/A,Repairable,Broken Screen
GBR,Fairphone,3,N/A,Repairable,Faulty Software
GBR,Huawei,2,N/A,Repairable,Broken Screen
GBR,ZTE,2,N/A,Repairable,Broken Screen
GBR,Apple,3,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,Unknown,End of Life,Fully Destroyed/Burned
NOR,Apple,2,N/A,Repairable,Broken Screen
ESP,BQ,Unknown,N/A,Repairable,Broken Screen
GBR,Nokia,8,N/A,Repairable,Broken Battery
GBR,Apple,2,N/A,Repairable,Broken Screen
GBR,Nokia,2,N/A,Repairable,Humidity Problem
GBR,Motorola,6,6,End of Life,Broken Home Button
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Microsoft,Unknown,N/A,Repairable,Broken Screen
GBR,Google,6,N/A,Repairable,Broken Home Button
SWE,Samsung,2,N/A,Repairable,Broken Screen
NOR,Sony,2,N/A,Repairable,Broken Screen
NOR,Apple,2,N/A,Repairable,Broken Screen
NOR,Apple,3,N/A,Repairable,Broken Screen
NOR,Apple,1,N/A,Repairable,Broken Screen
NOR,Samsung,2,N/A,Repairable,Broken Screen
NOR,Apple,2,N/A,Repairable,Broken Screen
NOR,Asus,2,N/A,Repairable,Broken Screen
NOR,Samsung,4,N/A,Repairable,Very Slow
NOR,Motorola,2,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Faulty Software
ITA,Samsung,Unknown,Unknown,End of Life,Broken Screen
SWE,Fairphone,4,N/A,Repairable,Charging Issues
NOR,Huawei,4,N/A,Repairable,Broken Screen
ESP,Samsung,Unknown,N/A,Repairable,Broken Screen
ESP,Wiko,Unknown,N/A,Repairable,Broken Screen
ESP,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,10,N/A,Repairable,Broken Camera
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Huawei,Unknown,N/A,Repairable,Faulty Software
ESP,Xiaomi,2,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Fairphone,Unknown,N/A,Repairable,Full Memory
NOR,Samsung,3,N/A,Repairable,Broken Home Button
NOR,Samsung,5,N/A,Repairable,Broken Screen
NOR,Apple,4,N/A,Repairable,Broken Screen
ITA,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Samsung,5,5,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Charging Socket
GBR,Samsung,1,N/A,Repairable,Water Damage
GBR,Samsung,10,N/A,Repairable,Very Slow
GBR,Nokia,Unknown,Unknown,End of Life,Broken Screen
SWE,Samsung,5,5,End of Life,Broken Home Button
SWE,Apple,6,N/A,Repairable,Broken Screen
BEL,Samsung,4,N/A,Repairable,Very Slow
BEL,Nokia,Unknown,N/A,Repairable,Broken Camera
GBR,Apple,2,N/A,Repairable,Broken Home Button
GBR,Apple,2,N/A,Repairable,Very Slow
GBR,Apple,2,N/A,Repairable,Very Slow
GBR,Samsung,3,3,End of Life,Faulty Software
NOR,Apple,8,N/A,Repairable,Broken Screen
NOR,Samsung,3,N/A,Repairable,Broken Screen
NOR,Samsung,4,N/A,Repairable,Broken Screen
NOR,Apple,3,N/A,Repairable,Broken Screen
GBR,Apple,4,N/A,Repairable,Faulty Software
BEL,Huawei,3,3,End of Life,Faulty Software
BEL,Apple,Unknown,N/A,Repairable,Broken Battery
GBR,HTC,10,N/A,Repairable,Broken Screen
BEL,Samsung,3,N/A,Repairable,Broken Screen
BEL,OnePlus,Unknown,N/A,Repairable,Water Damage
GBR,Samsung,4,N/A,Repairable,Faulty Software
BEL,Samsung,Unknown,N/A,Repairable,Broken Screen
BEL,Nokia,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,2,N/A,Repairable,Broken Battery
GBR,Samsung,0,N/A,Repairable,Broken Screen
GBR,Apple,5,N/A,Repairable,Broken Screen
BEL,Apple,5,N/A,Repairable,Broken Camera
GBR,Samsung,3,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,Unknown,End of Life,Broken Screen
BEL,Xiaomi,1,1,End of Life,Over Heating
GBR,Samsung,5,N/A,Repairable,Broken Screen
GBR,Samsung,5,N/A,Repairable,Broken Screen
GBR,LG,10,10,End of Life,Broken Screen
BEL,Samsung,2,N/A,Repairable,Broken Screen
GBR,Samsung,3,N/A,Repairable,Broken Screen
GBR,Apple,2,N/A,Repairable,Broken Screen
GBR,Samsung,2,N/A,Repairable,Broken Screen
GBR,Fairphone,7,N/A,Repairable,Broken Home Button
BEL,Apple,Unknown,N/A,Repairable,Full Memory
BEL,Samsung,Unknown,Unknown,End of Life,Faulty Software
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Nokia,Unknown,N/A,Repairable,Very Slow
GBR,Alcatel,2,N/A,Repairable,Broken Screen
NOR,Apple,4,N/A,Repairable,Broken Screen
NOR,Samsung,9,N/A,Repairable,Broken Screen
GBR,Nokia,1,N/A,Repairable,Water Damage
GBR,Apple,2,N/A,Repairable,Water Damage
GBR,Nexus,7,7,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Apple,Unknown,Unknown,End of Life,Faulty Software
BEL,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,1,N/A,Repairable,Broken Screen
GBR,Motorola,4,4,End of Life,Broken Screen
BEL,Huawei,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,4,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Phillips,Unknown,N/A,Repairable,Broken Screen
BEL,Huawei,Unknown,Unknown,End of Life,Broken Screen
ITA,Samsung,Unknown,N/A,Repairable,Broken Screen
ITA,Xiaomi,Unknown,N/A,Repairable,Broken Screen
GBR,Sony,4,N/A,Repairable,Not recognized SIM card
FRA,Apple,Unknown,Unknown,End of Life,Broken Home Button
GBR,Huawei,Unknown,Unknown,End of Life,Water Damage
GBR,Samsung,7,N/A,Repairable,Broken Screen
GBR,Apple,0,N/A,Repairable,Broken Screen
GBR,Apple,7,N/A,Repairable,Broken Screen
GBR,Phillips,5,N/A,Repairable,Broken Camera
BEL,Apple,Unknown,Unknown,End of Life,Broken Home Button
GBR,Samsung,5,5,End of Life,Broken Screen
ESP,BQ,5,5,End of Life,Broken Screen
GBR,Samsung,5,N/A,Repairable,Broken Camera
SWE,Apple,3,N/A,Repairable,Broken Battery
GBR,Apple,1,N/A,Repairable,Charging Issues
GBR,Apple,3,3,End of Life,Broken Battery
BEL,Samsung,Unknown,N/A,Repairable,Faulty Software
GBR,Apple,10,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Sony,10,10,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,LG,Unknown,N/A,Repairable,Broken Charging Socket
GBR,Apple,4,N/A,Repairable,Broken Battery
GBR,Apple,8,8,End of Life,Broken Screen
GBR,Apple,8,8,End of Life,Broken Screen
GBR,Apple,7,N/A,Repairable,Broken Home Button
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Home Button
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,HTC,5,N/A,Repairable,Broken Camera
SWE,Apple,7,N/A,Repairable,Broken Screen
GBR,Nokia,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Huawei,2,N/A,Repairable,Charging Issues
NOR,Xiaomi,0,N/A,Repairable,Broken Screen
NOR,OnePlus,1,1,End of Life,Broken Camera
NOR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,4,4,End of Life,Broken Home Button
SWE,Xiaomi,2,2,End of Life,Broken Camera
GBR,Samsung,Unknown,N/A,Repairable,Broken Camera
GBR,Sony,Unknown,N/A,Repairable,Full Memory
GBR,Motorola,Unknown,Unknown,End of Life,Water Damage
GBR,Sony,Unknown,N/A,Repairable,Very Slow
CHE,Apple,Unknown,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,Unknown,End of Life,Broken Screen
BEL,Huawei,Unknown,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,N/A,Repairable,Broken Home Button
BEL,Samsung,3,N/A,Repairable,Broken Screen
NLD,Sony,Unknown,N/A,Repairable,Charging Issues
BEL,Motorola,Unknown,N/A,Repairable,Fully Destroyed/Burned
BEL,Huawei,3,3,End of Life,Broken Screen
BEL,Huawei,Unknown,N/A,Repairable,Broken Camera
BEL,Huawei,3,N/A,Repairable,Broken Screen
BEL,Wiko,0,N/A,Repairable,Water Damage
BEL,Motorola,3,N/A,Repairable,Broken Screen
BEL,Apple,5,N/A,Repairable,Broken Screen
BEL,OnePlus,Unknown,N/A,Repairable,Broken Screen
CHE,Huawei,Unknown,N/A,Repairable,Broken Screen
BEL,Samsung,3,3,End of Life,Broken Battery
BEL,Xiaomi,2,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,N/A,Repairable,Water Damage
BEL,OnePlus,Unknown,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,N/A,Repairable,Faulty Software
BEL,ZTE,Unknown,N/A,Repairable,Broken Battery
BEL,Samsung,2,N/A,Repairable,Broken Screen
BEL,Samsung,Unknown,N/A,Repairable,Broken Screen
